"Parliament","Session","Session Mandate","Duration","Senate Sittings","House of Commons Sittings"
"42nd","1st","2015-12-03 -  ","1085 days","248","362"
"41st","2nd","2013-10-16 - 2015-08-02","655 days","162","235"
"41st","1st","2011-06-02 - 2013-09-13","834 days","181","272"
"40th","3rd","2010-03-03 - 2011-03-26","388 days","99","149"
"40th","2nd","2009-01-26 - 2009-12-30","338 days","83","128"
"40th","1st","2008-11-18 - 2008-12-04","16 days","8","13"
"39th","1st","2006-04-03 - 2007-09-14","529 days","113","175"
"39th","2nd","2007-10-16 - 2008-09-07","327 days","73","117"
"38th","1st","2004-10-04 - 2005-11-29","421 days","100","159"
"37th","1st","2001-01-29 - 2002-09-16","595 days","124","211"
"37th","2nd","2002-09-30 - 2003-11-12","408 days","97","153"
"37th","3rd","2004-02-02 - 2004-05-23","111 days","42","55"
"36th","2nd","1999-10-12 - 2000-10-22","376 days","84","133"
"36th","1st","1997-09-22 - 1999-09-18","726 days","158","243"
"35th","2nd","1996-02-27 - 1997-04-27","425 days","96","164"
"35th","1st","1994-01-17 - 1996-02-02","746 days","133","278"
"34th","1st","1988-12-12 - 1989-02-28","78 days","7","11"
"34th","2nd","1989-04-03 - 1991-05-12","769 days","149","305"
"34th","3rd","1991-05-13 - 1993-09-08","849 days","160","270"
"33rd","1st","1984-11-05 - 1986-08-28","661 days","159","308"
"33rd","2nd","1986-09-30 - 1988-10-01","732 days","194","389"
"32nd","1st","1980-04-14 - 1983-11-30","1325 days","329","591"
"32nd","2nd","1983-12-07 - 1984-07-09","215 days","54","116"
"31st","1st","1979-10-09 - 1979-12-14","66 days","31","49"
"30th","1st","1974-09-30 - 1976-10-12","743 days","216","343"
"30th","2nd","1976-10-12 - 1977-10-17","370 days","103","175"
"30th","3rd","1977-10-18 - 1978-10-10","357 days","93","151"
"30th","4th","1978-10-11 - 1979-03-26","166 days","66","98"
"29th","2nd","1974-02-27 - 1974-05-09","71 days","31","50"
"29th","1st","1973-01-04 - 1974-02-26","418 days","110","206"
"28th","1st","1968-09-12 - 1969-10-22","405 days","97","198"
"28th","4th","1972-02-17 - 1972-09-01","197 days","47","91"
"28th","3rd","1970-10-08 - 1972-02-16","496 days","138","244"
"28th","2nd","1969-10-23 - 1970-10-07","349 days","84","155"
"27th","2nd","1967-05-08 - 1968-04-23","351 days","62","155"
"27th","1st","1966-01-18 - 1967-05-08","475 days","117","250"
"26th","2nd","1964-02-18 - 1965-04-03","410 days","106","248"
"26th","3rd","1965-04-05 - 1965-09-08","156 days","23","53"
"26th","1st","1963-05-16 - 1963-12-21","219 days","78","117"
"25th","1st","1962-09-27 - 1963-02-06","132 days","43","72"
"24th","2nd","1959-01-15 - 1959-07-18","184 days","75","127"
"24th","3rd","1960-01-14 - 1960-08-10","209 days","87","146"
"24th","1st","1958-05-12 - 1958-09-06","117 days","59","93"
"24th","4th","1960-11-17 - 1961-09-29","316 days","91","174"
"24th","5th","1962-01-18 - 1962-04-19","91 days","40","65"
"23rd","1st","1957-10-14 - 1958-02-01","110 days","45","78"
"22nd","3rd","1956-01-10 - 1956-08-14","217 days","78","152"
