"Parliament","Term","Duration"
"42nd","2015-12-03 -  ","1085 days"
"41st","2011-06-02 - 2015-08-02","1522 days"
"40th","2008-11-18 - 2011-03-26","858 days"
"39th","2006-04-03 - 2008-09-07","888 days"
"38th","2004-10-04 - 2005-11-29","421 days"
"37th","2001-01-29 - 2004-05-23","1210 days"
"36th","1997-09-22 - 2000-10-22","1126 days"
"35th","1994-01-17 - 1997-04-27","1196 days"
"34th","1988-12-12 - 1993-09-08","1731 days"
"33rd","1984-11-05 - 1988-10-01","1426 days"
"32nd","1980-04-14 - 1984-07-09","1547 days"
"31st","1979-10-09 - 1979-12-14","66 days"
"30th","1974-09-30 - 1979-03-26","1638 days"
"29th","1973-01-04 - 1974-05-09","490 days"
"28th","1968-09-12 - 1972-09-01","1450 days"
"27th","1966-01-18 - 1968-04-23","826 days"
"26th","1963-05-16 - 1965-09-08","846 days"
"25th","1962-09-27 - 1963-02-06","132 days"
"24th","1958-05-12 - 1962-04-19","1438 days"
"23rd","1957-10-14 - 1958-02-01","110 days"
"22nd","1953-11-12 - 1957-04-12","1247 days"
"21st","1949-09-15 - 1953-06-13","1367 days"
"20th","1945-09-06 - 1949-04-30","1332 days"
"19th","1940-05-16 - 1945-04-16","1796 days"
"18th","1936-02-06 - 1940-01-25","1449 days"
"17th","1930-09-08 - 1935-08-14","1801 days"
"16th","1926-12-09 - 1930-05-30","1268 days"
"15th","1926-01-07 - 1926-07-02","176 days"
"14th","1922-03-08 - 1925-09-05","1277 days"
"13th","1918-03-18 - 1921-10-04","1296 days"
"12th","1911-11-15 - 1917-10-06","2152 days"
"11th","1909-01-20 - 1911-07-29","920 days"
"10th","1905-01-11 - 1908-09-17","1345 days"
"9th","1901-02-06 - 1904-09-29","1331 days"
"8th","1896-08-19 - 1900-10-09","1511 days"
"7th","1891-04-29 - 1896-04-24","1822 days"
"6th","1887-04-13 - 1891-02-03","1392 days"
"5th","1883-02-08 - 1887-01-15","1437 days"
"4th","1879-02-13 - 1882-05-18","1190 days"
"3rd","1874-03-26 - 1878-08-17","1605 days"
"2nd","1873-03-05 - 1874-01-02","303 days"
"1st","1867-11-06 - 1872-07-08","1706 days"
