"Parliament","Type of Budget","Speech","Date of Speech","Minister of Finance","New Shoes?"
"42nd","Budget","Speech","2016-03-22","Morneau, Bill","Yes"
"42nd","Budget","Speech","2017-03-22","Morneau, Bill","Yes"
"42nd","Economic Statement","Speech","2016-11-01","Morneau, Bill","No"
"42nd","Economic Statement","Speech","2017-10-24","Morneau, Bill","No"
"42nd","Budget","Speech","2018-02-27","Morneau, Bill","Yes"
"42nd","Economic Statement","Speech","2018-11-21","Morneau, Bill","No"
"41st","Budget","Speech","2014-02-11","Flaherty, James Michael (Jim)","Yes"
"41st","Budget","Speech","2012-03-29","Flaherty, James Michael (Jim)","Yes"
"41st","Budget","Speech","2011-06-06","Flaherty, James Michael (Jim)","No"
"41st","Budget","Speech","2013-03-21","Flaherty, James Michael (Jim)","Yes"
"41st","Economic and Fiscal Update","Speech","2014-11-12","Oliver, Joe","No"
"41st","Economic and Fiscal Statement","Speech","2013-11-12","Flaherty, James Michael (Jim)","No"
"41st","Budget","Speech","2015-04-21","Oliver, Joe","Yes"
"41st","Economic and Fiscal Statement","Speech","2012-11-13","Flaherty, James Michael (Jim)","No"
"41st","Economic and Fiscal Update","Speech","2011-11-08","Flaherty, James Michael (Jim)","No"
"40th","Economic and Fiscal Update"," ","2009-09-10","Flaherty, James Michael (Jim)","No"
"40th","Budget","Speech","2010-03-04","Flaherty, James Michael (Jim)","Yes"
"40th","Budget","Speech","2009-01-27","Flaherty, James Michael (Jim)","Yes"
"40th","Economic and Fiscal Statement","Speech","2008-11-27","Flaherty, James Michael (Jim)","No"
"40th","Economic and Fiscal Update","Speech","2010-10-12","Flaherty, James Michael (Jim)","No"
"40th","Budget","Speech","2011-03-22","Flaherty, James Michael (Jim)","Yes"
"39th","Budget","Speech","2007-03-19","Flaherty, James Michael (Jim)","Yes"
"39th","Economic and Fiscal Update"," ","2006-11-23","Flaherty, James Michael (Jim)","No"
"39th","Economic Statement","Speech","2007-10-30","Flaherty, James Michael (Jim)","Yes"
"39th","Budget","Speech","2008-02-26","Flaherty, James Michael (Jim)","Yes"
"39th","Budget","Speech","2006-05-02","Flaherty, James Michael (Jim)","Yes"
"38th","Budget","Speech","2005-02-23","Goodale, Ralph","Yes"
"38th","Economic and Fiscal Update"," ","2005-11-14","Goodale, Ralph","No"
"38th","Economic and Fiscal Update"," ","2004-11-16","Goodale, Ralph","No"
"37th","Economic Update"," ","2001-05-17","Martin, Paul Edgar Philippe","No"
"37th","Budget","Speech","2003-02-18","Manley, John Paul","No"
"37th","Budget","Speech","2004-03-23","Goodale, Ralph","Yes"
"37th","Economic and Fiscal Update"," ","2002-10-30","Manley, John Paul","No"
"37th","Budget","Speech","2001-12-10","Martin, Paul Edgar Philippe","No"
"37th","Economic and Fiscal Update"," ","2003-11-03","Manley, John Paul","No"
"36th","Budget","Speech","1998-02-24","Martin, Paul Edgar Philippe","No"
"36th","Economic and Fiscal Update"," ","1997-10-15","Martin, Paul Edgar Philippe","No"
"36th","Economic Statement and Budget Update","Speech","2000-10-18","Martin, Paul Edgar Philippe","No"
"36th","Economic and Fiscal Update"," ","1998-10-14","Martin, Paul Edgar Philippe","No"
"36th","Budget","Speech","1999-02-16","Martin, Paul Edgar Philippe","No"
"36th","Economic and Fiscal Update"," ","1999-11-02","Martin, Paul Edgar Philippe","No"
"36th","Financial Statement","Speech","2000-02-28","Martin, Paul Edgar Philippe","No"
"35th","Economic and Fiscal Update"," ","1995-12-06","Martin, Paul Edgar Philippe","No"
"35th","Economic and Fiscal Update"," ","1996-10-09","Martin, Paul Edgar Philippe","No"
"35th","Budget","Speech","1997-02-18","Martin, Paul Edgar Philippe","No"
"35th","Budget","Speech","1995-02-27","Martin, Paul Edgar Philippe","No"
"35th","Budget","Speech","1996-03-06","Martin, Paul Edgar Philippe","No"
"35th","Budget","Speech","1994-02-22","Martin, Paul Edgar Philippe","Yes"
"35th","Economic and Fiscal Update"," ","1994-10-18","Martin, Paul Edgar Philippe","No"
"34th","Financial Statement","Speech","1989-04-27","Wilson, Michael Holcombe","Yes"
"34th","Budget","Speech","1992-02-25","Mazankowski, Donald Frank","No"
"34th","Financial Statement","Speech","1993-04-26","Mazankowski, Donald Frank","No"
"34th","Financial Statement","Speech","1992-12-02","Mazankowski, Donald Frank","No"
"34th","Budget","Speech","1990-02-20","Wilson, Michael Holcombe","No"
"34th","Budget","Speech","1991-02-26","Wilson, Michael Holcombe","No"
"33rd","Budget","Speech","1988-02-10","Wilson, Michael Holcombe","Yes"
"33rd","Budget","Speech","1987-02-18","Wilson, Michael Holcombe","Yes"
"33rd","Budget","Speech","1985-05-23","Wilson, Michael Holcombe","Yes"
"33rd","Budget","Speech","1986-02-26","Wilson, Michael Holcombe","Yes"
"33rd","Economic Statement","Speech","1984-11-08","Wilson, Michael Holcombe","No"
"32nd","Budget","Speech","1984-02-15","Lalonde, Marc","Yes"
"32nd","Budget","Speech","1982-06-28","MacEachen, Allan Joseph","No"
"32nd","Budget","Speech","1981-11-12","MacEachen, Allan Joseph","No"
"32nd","Mini-Budget - Economic Statement","Speech","1982-10-27","Lalonde, Marc","No"
"32nd","Mini-Budget","Speech","1980-04-21","MacEachen, Allan Joseph","No"
"32nd","Budget","Speech","1983-04-19","Lalonde, Marc","No"
"32nd","Budget","Speech","1980-10-28","MacEachen, Allan Joseph","No"
"31st","Budget","Speech","1979-12-11","Crosbie, John Carnell","Yes"
"30th","Budget","Speech","1977-03-31","Macdonald, Donald Stovel","No"
"30th","Budget","Speech","1976-05-25","Macdonald, Donald Stovel","No"
"30th","Budget","Speech","1978-04-10","Chrétien, Joseph Jacques Jean","Yes"
"30th","Budget","Speech","1974-11-18","Turner, John Napier","No"
"30th","Budget","Speech","1978-11-16","Chrétien, Joseph Jacques Jean","Yes"
"30th","Budget","Speech","1975-06-23","Turner, John Napier","No"
"30th","Mini-Budget","Speech","1977-10-20","Chrétien, Joseph Jacques Jean","No"
"29th","Budget","Speech","1974-05-06","Turner, John Napier","No"
"29th","Budget","Speech","1973-02-19","Turner, John Napier","No"
"28th","Interim-Budget","Speech","1970-12-03","Benson, Edgar John","No"
"28th","Mini-Budget","Speech","1971-10-14","Benson, Edgar John","No"
"28th","Budget","Speech","1972-05-08","Turner, John Napier","No"
"28th","Budget","Speech","1969-06-03","Benson, Edgar John","No"
"28th","Budget","Speech","1971-06-18","Benson, Edgar John","No"
"28th","Budget","Speech","1968-10-22","Benson, Edgar John","No"
"28th","Budget","Speech","1970-03-12","Benson, Edgar John","No"
"27th","Budget","Speech","1966-03-29","Sharp, Mitchell William","Yes"
"27th","Budget","Speech","1967-06-01","Sharp, Mitchell William","Yes"
"27th","Financial Statement","Speech","1967-11-30","Sharp, Mitchell William","No"
"27th","Mini-Budget","Speech","1966-12-19","Sharp, Mitchell William","No"
