"Parliament","Session","Debates","Journals","Speech"
"42nd","1st","2015-12-04, p. 9","2015-12-04, vol. 148, p. 10","View the Speech"
"41st","2nd","2013-10-16, p. 2","2013-10-16, vol. 147, p. 4","View the Speech"
"41st","1st","2011-06-03, p. 15","2011-06-03, vol. 146, p. 11","View the Speech"
"40th","3rd","2010-03-03, p. 2","2010-03-03, vol. 145, p. 10","View the Speech"
"40th","2nd","2009-01-26, p. 1","2009-01-26, vol. 144, p. 1","View the Speech"
"40th","1st","2008-11-19, p. 14","2008-11-19, vol. 143, p. 13","View the Speech"
"39th","1st","2006-04-05, p. 30","2006-04-05, vol. 141, p. 22","View the Speech"
"39th","2nd","2007-10-16, p. 3","2007-10-16, vol. 142, p. 3","View the Speech"
"38th","1st","2004-10-05, p. 15","2004-10-05, vol. 140, p. 15","View the Speech"
"37th","1st","2001-01-30, p. 17, 18","2001-01-30, vol. 137, p. 13","View the Speech"
"37th","2nd","2002-09-30, p. 8, 11","2002-09-30, vol. 138, p. 3","View the Speech"
"37th","3rd","2004-02-02, p. 12, 15","2004-02-02, vol. 139, p. 3","View the Speech"
"36th","2nd","1999-10-12, p. 7, 10","1999-10-12, vol. 136, p. 3","View the Speech"
"36th","1st","1997-09-23, p. 13, 16","1997-09-23, vol. 135, p. 14","View the Speech"
"35th","2nd","1996-02-27, p. 20, 23","1996-02-27, vol. 134, p. 4","View the Speech"
"35th","1st","1994-01-18, p. 12, 14","1994-01-18, vol. 133, p. 19","View the Speech"
"34th","1st","1988-12-12, p. 13, 16","1988-12-12, vol. 130, p. 8, 9","View the Speech"
"34th","2nd","1989-04-04, p. 15, 18","1989-04-04, vol. 131, p. 3","View the Speech"
"34th","3rd","1991-05-13, p. 6, 8","1991-05-13, vol. 132, p. 13","View the Speech"
"33rd","1st","1984-11-06, p. 13, 15","1984-11-06, vol. 128, p. 28","View the Speech"
"33rd","2nd","1986-10-02, p. 18, 21","1986-10-02, vol. 129, p. 43","View the Speech"
"32nd","1st","1980-04-14, p. 8, 10","1980-04-14, vol. 126, p. 23","View the Speech"
"32nd","2nd","1983-12-08, p. 21, 23","1983-12-08, vol. 127, p. 21","View the Speech"
"31st","1st","1979-10-09, p. 15, 17","1979-10-09, vol. 125, p. 21","View the Speech"
"30th","1st","1974-10-01, p. 21, 24","1974-10-01, vol. 121, p. 21","View the Speech"
"30th","2nd","1976-10-12, p. 6, 8","1976-10-12, vol. 122, p. 13","View the Speech"
"30th","3rd","1977-10-18, p. 5, 8","1977-10-18, vol. 123, p. 11","View the Speech"
"30th","4th","1978-10-11, p. 4, 5","1978-10-11, vol. 124, p. 10","View the Speech"
"29th","2nd","1974-02-27, p. 4, 9","1974-02-27, vol. 120, p. 5","View the Speech"
"29th","1st","1973-01-05, p. 24, 27","1973-01-05, vol. 119, p. 17","View the Speech"
"28th","1st","1968-09-13, p. 30, 33","1968-09-13, vol. 115, p. 31","View the Speech"
"28th","4th","1972-02-17, p. 7, 13","1972-02-17, vol. 118, p. 7","View the Speech"
"28th","3rd","1970-10-08, p. 5, 7","1970-10-08, vol. 117, p. 5","View the Speech"
"28th","2nd","1969-10-23, p. 5, 8","1969-10-23, vol. 116, p. 8","View the Speech"
"27th","2nd","1967-05-09, p. 21, 25","1967-05-09, vol. 114, p. 20","View the Speech"
"27th","1st","1966-01-19, p. 28, 30","1966-01-19, vol. 113, p. 24","View the Speech"
"26th","2nd","1964-02-19, p. 18, 21","1964-02-19, vol. 111, p. 11","View the Speech"
"26th","3rd","1965-04-05, p. 4, 7","1965-04-05, vol. 112, p. 7","View the Speech"
"26th","1st","1963-05-17, p. 21, 25","1963-05-17, vol. 110, p. 19","View the Speech"
"25th","1st","1962-09-28, p. 19, 23","1962-09-28, vol. 109, p. 23","View the Speech"
"24th","2nd","1959-01-16, p. 16, 20","1959-01-16, vol. 105, p. 13","View the Speech"
"24th","3rd","1960-01-15, p. 13, 17","1960-01-15, vol. 106, p. 15","View the Speech"
"24th","1st","1958-05-12, p. 9, 13","1958-05-12, vol. 104, p. 13","View the Speech"
"24th","4th","1960-11-18, p. 13, 18","1960-11-18, vol. 107, p. 13","View the Speech"
"24th","5th","1962-01-19, p. 17, 22","1962-01-19, vol. 108, p. 17","View the Speech"
"23rd","1st","1957-10-15, p. 20, 23","1957-10-15, vol. 103, p. 16","View the Speech"
"22nd","3rd","1956-01-11, p. 11, 16","1956-01-11, vol. 100, p. 14","View the Speech"
"22nd","4th","1956-11-26, p. 7, 9","1956-11-26, vol. 101, p. 4","View the Speech"
